vehicle_type,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),age_of_vehicle,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,urban_or_rural_area,sex_of_casualty
9,1,30,6,2200,14,3,1,1,3,6,30,1,1
9,1,22,5,1997,9,3,4,1,7,6,30,1,1
5,1,19,4,599,16,3,2,1,5,6,30,1,1
9,1,35,6,1587,8,3,1,1,5,6,30,1,2
9,2,27,6,1598,4,3,2,1,7,6,30,1,2
9,1,35,6,1389,14,1,2,4,1,9,50,2,1
9,1,35,6,1389,14,1,2,4,1,9,50,2,2
9,1,35,6,1389,14,1,2,4,1,9,50,2,2
9,1,31,6,1968,4,1,2,4,1,9,50,2,1
9,1,45,7,1986,8,3,1,1,7,6,30,1,2
11,1,46,8,9000,11,3,1,1,7,3,30,1,1
9,2,57,9,1339,7,3,2,1,3,3,50,2,2
9,2,25,5,1341,10,3,2,2,4,6,40,1,2
9,2,50,8,1896,9,3,2,2,6,6,30,1,2
11,1,54,8,4580,6,3,1,1,5,6,30,1,2
4,1,18,4,50,8,3,2,1,6,6,30,1,1
9,2,56,9,1362,3,3,1,1,5,6,20,1,2
9,2,40,7,1995,11,2,1,1,5,6,30,1,1
9,1,75,10,1998,13,3,1,1,7,6,30,1,2
9,2,30,6,1997,15,3,2,1,2,3,30,1,2
3,1,28,6,125,4,2,2,1,2,6,40,2,1
9,2,53,8,1349,15,3,2,2,5,6,30,1,2
9,2,53,8,1349,15,3,2,2,5,6,30,1,1
9,2,33,6,1199,14,3,2,2,3,6,30,1,2
9,2,33,6,1199,14,3,2,2,3,6,30,1,2
9,2,17,4,1242,3,2,2,1,4,6,30,1,2
9,2,66,10,1242,2,3,2,2,5,6,40,1,2
9,2,66,10,1242,2,3,2,2,5,6,40,1,1
9,2,50,8,1595,8,2,2,3,7,3,40,1,2
9,2,50,8,1595,8,2,2,3,7,3,40,1,1
9,2,50,8,1595,8,2,2,3,7,3,40,1,1
9,1,41,7,1461,2,3,1,1,3,6,30,1,1
9,1,88,11,1796,10,3,1,1,6,6,30,1,2
19,1,33,6,1560,1,3,3,1,3,6,30,1,1
9,2,24,5,1197,5,3,2,3,7,6,30,2,2
9,2,31,6,1124,10,3,2,3,7,6,30,2,2
9,2,31,6,1124,10,3,2,3,7,6,30,2,2
9,1,38,7,2500,16,3,1,1,7,6,30,1,1
9,2,84,11,1997,14,3,2,2,6,6,20,1,2
9,2,84,11,1997,14,3,2,2,6,6,20,1,2
4,1,25,5,487,16,3,2,1,4,6,30,1,1
3,2,17,4,124,30,3,2,1,3,6,30,1,2
9,1,78,11,1339,7,3,3,2,3,6,30,1,1
9,1,78,11,1339,7,3,3,2,3,6,30,1,2
4,1,22,5,125,8,3,2,1,5,6,30,1,1
9,2,50,8,1242,9,3,3,1,2,6,30,1,2
9,1,63,9,2198,8,3,2,1,3,6,30,1,2
9,2,39,7,1339,8,3,1,1,4,6,30,1,2
9,1,38,7,1600,5,2,1,1,3,6,30,1,1
9,2,52,8,1997,1,3,2,1,5,6,30,1,2
9,2,33,6,1598,5,3,1,1,6,6,30,1,1
9,2,57,9,1248,7,3,2,2,5,6,30,1,2
11,1,50,8,4461,1,3,1,1,6,3,30,1,2
9,1,46,8,1242,13,3,2,1,5,6,30,1,1
9,1,55,8,1390,11,3,3,1,3,6,30,1,1
9,1,39,7,1910,8,3,2,1,7,6,30,1,1
11,1,50,8,4461,2,3,1,1,5,6,30,1,2
9,1,78,11,1896,8,3,1,1,3,6,30,1,1
5,1,48,8,645,11,3,2,1,4,3,30,2,1
9,1,79,11,1596,9,1,3,2,6,6,30,1,1
9,1,79,11,1596,9,1,3,2,6,6,30,1,2
9,2,53,8,1598,8,3,2,1,4,3,30,1,2
9,1,39,7,998,8,3,1,2,7,6,30,1,2
9,1,39,7,998,8,3,1,2,7,6,30,1,1
9,1,22,5,1199,13,1,1,4,7,6,30,1,2
9,1,22,5,1199,13,1,1,4,7,6,30,1,1
9,1,22,5,1199,13,1,1,4,7,6,30,1,1
9,1,22,5,1199,13,1,1,4,7,6,30,1,1
9,1,19,4,1242,5,3,2,1,4,6,30,1,1
9,1,26,6,1794,13,3,2,1,4,6,30,1,1
9,2,29,6,1598,12,3,1,1,4,6,30,1,2
9,1,18,4,1124,13,2,1,1,1,3,40,2,1
9,1,39,7,1689,15,3,2,1,6,6,30,1,1
4,1,65,9,124,16,3,2,1,5,6,30,1,1
9,2,47,8,1242,12,3,2,1,1,3,40,1,2
9,2,29,6,1390,10,3,2,1,6,6,30,1,2
9,1,27,6,1994,11,3,2,2,7,6,30,1,1
9,1,30,6,1968,4,3,2,2,7,6,30,1,1
9,1,29,6,1781,14,3,1,1,2,6,30,1,1
9,1,55,8,1995,5,3,2,2,4,6,30,1,1
9,1,30,6,1360,12,3,2,2,4,6,30,1,1
9,1,39,7,2616,10,3,4,5,1,6,30,1,1
9,1,18,4,1229,2,3,4,5,1,6,30,1,1
9,1,18,4,1229,2,3,4,5,1,6,30,1,2
9,1,24,5,1998,10,3,4,5,1,6,30,1,1
9,1,24,5,1998,10,3,4,5,1,6,30,1,1
9,2,36,7,1329,4,2,2,2,5,6,30,1,1
9,2,36,7,1329,4,2,2,2,5,6,30,1,2
9,1,86,11,1364,4,3,1,1,1,6,30,1,2
9,2,37,7,2099,13,3,2,1,4,6,40,1,2
19,1,64,9,1248,7,3,2,1,6,3,30,1,1
9,2,30,6,1339,11,2,2,2,6,3,40,1,2
9,1,18,4,1587,12,2,2,2,6,3,40,1,2
9,1,44,7,1995,7,3,1,1,1,6,30,1,1
9,1,48,8,1796,16,3,3,1,7,6,30,1,1
8,1,32,6,1497,8,3,2,1,3,6,30,1,1
9,1,25,5,1598,10,2,6,2,3,6,30,1,1
9,2,40,7,1596,8,2,6,2,3,6,30,1,2
9,2,23,5,1968,9,3,2,2,4,6,30,1,2
9,2,23,5,1968,9,3,2,2,4,6,30,1,2
9,2,29,6,1275,16,3,1,1,6,6,30,1,1
3,1,27,6,124,2,2,2,1,6,3,30,1,1
9,1,77,11,998,13,3,2,1,1,6,30,1,1
9,2,30,6,1149,12,3,3,2,7,6,30,1,2
9,2,63,9,1598,13,3,3,2,7,6,30,1,2
9,1,41,7,1997,10,3,1,1,5,6,30,1,2
9,1,47,8,1995,12,3,1,1,3,6,30,1,1
9,1,33,6,998,4,3,2,2,4,1,40,2,1
9,1,33,6,998,4,3,2,2,4,1,40,2,2
9,2,40,7,1461,5,2,1,2,3,6,30,1,2
9,2,40,7,1461,5,2,1,2,3,6,30,1,2
9,2,67,10,1242,11,3,2,1,7,6,30,1,2
9,1,40,7,1896,11,3,2,1,1,1,30,1,2
9,2,39,7,1595,9,3,1,1,1,6,30,1,1
9,1,25,5,1781,11,3,1,1,7,6,30,1,2
9,2,44,7,2987,6,3,1,1,2,6,30,1,1
9,2,24,5,1686,10,3,2,2,2,6,30,1,2
9,1,38,7,3222,10,3,2,2,2,6,30,1,2
9,1,25,5,1598,1,3,1,2,2,6,30,1,2
9,1,25,5,1598,1,3,1,2,2,6,30,1,2
9,1,28,6,1995,1,2,1,1,3,6,30,1,2
9,1,25,5,2987,1,3,1,1,5,6,30,1,2
9,2,52,8,1560,2,3,2,2,5,6,60,2,2
